source,target,cosine,shared_signals,is_created,is_bridge
29c4cb5d-1832-45e3-8434-5d619b3c2c72,df9dcc5e-e809-4ffe-933a-8d6772a72800,0.5133,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,b8ace381-cb66-4aa2-b93b-51f1386e7c5f,0.5809,"state:moderno",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,0c7401e0-31ff-414b-a1a5-37788125a8d4,0.5663,"state:impactante",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,1a4e4133-08d3-4676-948c-d018846cde04,0.5440,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,559edd31-01ed-47f0-a5f2-a20b4c07cdde,0.5140,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,eb61265a-fc7c-4f4f-89b7-ce94f8a7b8e5,0.5174,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,39b12e1b-50ba-4376-bb72-05d53d815686,0.5325,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,5ed94bf1-6de4-4233-9aee-9fbe1482502c,0.5737,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,6db3da82-b45f-40f0-a543-3f1937a9b77d,0.5192,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,0c5c54c4-92bf-4d2b-8e84-833bcc4c4de4,0.5184,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,c3cd49f1-d0e2-478b-ab04-8e079f1b513b,0.5161,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,5401cb7c-08da-446a-b4c1-40989be206ca,0.5349,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,90c72c62-9fdd-4ca2-bc89-b327b78c5fc0,0.5567,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,a78037ec-26b1-4540-a7c6-afe34f390975,0.5034,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,5e238faf-b677-483a-8b3a-e1c4fcf6479f,0.5423,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,27891bd3-a828-45a4-bf5a-6b7a8105565c,0.5172,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,7b8541cc-1220-4842-92e7-d8bf682b7741,0.5295,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,77d039a0-1709-4794-9cde-07991ce82833,0.5052,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,9836cde7-2b04-410a-bbe8-5ddba64d38b7,0.5522,"state:preciso",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,71ce5603-a6ce-4357-9eeb-26d9b70a8e24,0.6125,"state:impactante",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,45728069-60a2-44b9-bcbf-a516dbebb011,0.5756,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,9bb8de15-9509-476d-bfe3-07958868bd36,0.5248,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,3a1a67ed-71b8-483d-bc7f-611710594bba,0.5014,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,761e88eb-94c6-4af5-a0fc-f2e54de1a128,0.5356,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,d355b2ea-0ffb-4e6b-9043-9bd957f8fa2f,0.5154,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,f9102c9f-704c-4773-864b-f499ce9cef6e,0.5158,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,129f7722-1cbb-47a7-933c-f53e2380b00a,0.5253,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,81b7ffce-c586-4e5a-ae1d-7ce76356a1fd,0.5754,"state:moderno",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,e5320fb2-aec3-4d66-ab76-d75463d19466,0.5302,"state:preciso",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,34a4fff2-8fd5-4910-ab50-6c712f8da4cd,0.5161,"",false,false
29c4cb5d-1832-45e3-8434-5d619b3c2c72,5ad46f54-a6e1-41cd-bef0-7b13fefd400b,0.5529,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,b8ace381-cb66-4aa2-b93b-51f1386e7c5f,0.5845,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,0c7401e0-31ff-414b-a1a5-37788125a8d4,0.6610,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,1a4e4133-08d3-4676-948c-d018846cde04,0.6136,"matter:vinil",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,559edd31-01ed-47f0-a5f2-a20b4c07cdde,0.5607,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,96203f8c-e3e8-4966-9c3d-f7ac9168f992,0.5255,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,24285c4c-372c-4857-8c1c-658ba0a4b647,0.5605,"matter:ruído digital",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,0.6087,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,61bf0b1b-bca2-4604-9036-c3006b1a9a4a,0.5468,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,eb61265a-fc7c-4f4f-89b7-ce94f8a7b8e5,0.5607,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,39b12e1b-50ba-4376-bb72-05d53d815686,0.5152,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,c4a20d0b-3ee6-417d-962f-ac80bfaed2ef,0.5345,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,5ed94bf1-6de4-4233-9aee-9fbe1482502c,0.7257,"",true,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,6db3da82-b45f-40f0-a543-3f1937a9b77d,0.5790,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,b94dea90-0a9d-4b59-9fbc-535749306fd2,0.5375,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,0c5c54c4-92bf-4d2b-8e84-833bcc4c4de4,0.6324,"matter:vinil",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,c374c250-2e51-4b59-906d-3bd36e009aa8,0.5537,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,009e1ba9-0676-4a07-99df-cbb5564f3c57,0.5564,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,c3cd49f1-d0e2-478b-ab04-8e079f1b513b,0.5507,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,5401cb7c-08da-446a-b4c1-40989be206ca,0.6178,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,90c72c62-9fdd-4ca2-bc89-b327b78c5fc0,0.6299,"state:intenso",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,a78037ec-26b1-4540-a7c6-afe34f390975,0.5609,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,5e238faf-b677-483a-8b3a-e1c4fcf6479f,0.6393,"state:intenso",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,27891bd3-a828-45a4-bf5a-6b7a8105565c,0.5090,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,f5082190-f6b3-468f-bda3-6ba9e8c519ea,0.5799,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,7b8541cc-1220-4842-92e7-d8bf682b7741,0.5332,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,77d039a0-1709-4794-9cde-07991ce82833,0.6459,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,9836cde7-2b04-410a-bbe8-5ddba64d38b7,0.5988,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,71ce5603-a6ce-4357-9eeb-26d9b70a8e24,0.6195,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,45728069-60a2-44b9-bcbf-a516dbebb011,0.5271,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,9bb8de15-9509-476d-bfe3-07958868bd36,0.5844,"state:intenso",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,3a1a67ed-71b8-483d-bc7f-611710594bba,0.5163,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,761e88eb-94c6-4af5-a0fc-f2e54de1a128,0.5173,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,b3ececeb-b9e2-4131-874c-1a9e8afaa69c,0.6607,"matter:tinta fresca",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,d355b2ea-0ffb-4e6b-9043-9bd957f8fa2f,0.6286,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,f9102c9f-704c-4773-864b-f499ce9cef6e,0.5696,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,129f7722-1cbb-47a7-933c-f53e2380b00a,0.5076,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,81b7ffce-c586-4e5a-ae1d-7ce76356a1fd,0.5588,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,e5320fb2-aec3-4d66-ab76-d75463d19466,0.5011,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,09b4f387-1616-49ed-83df-04d724d4820f,0.5583,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,7218cf32-626d-4a24-8724-b242e7b15201,0.7835,"state:agressivo|matter:ruído digital",true,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,34a4fff2-8fd5-4910-ab50-6c712f8da4cd,0.5303,"",false,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,5ad46f54-a6e1-41cd-bef0-7b13fefd400b,0.5303,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,0c7401e0-31ff-414b-a1a5-37788125a8d4,0.6543,"state:ousado",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,1a4e4133-08d3-4676-948c-d018846cde04,0.6088,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,559edd31-01ed-47f0-a5f2-a20b4c07cdde,0.5960,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,96203f8c-e3e8-4966-9c3d-f7ac9168f992,0.5613,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,24285c4c-372c-4857-8c1c-658ba0a4b647,0.5409,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,0.5855,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,61bf0b1b-bca2-4604-9036-c3006b1a9a4a,0.7414,"mov:ancorar",true,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,eb61265a-fc7c-4f4f-89b7-ce94f8a7b8e5,0.6117,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,39b12e1b-50ba-4376-bb72-05d53d815686,0.5737,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,c4a20d0b-3ee6-417d-962f-ac80bfaed2ef,0.5127,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,5ed94bf1-6de4-4233-9aee-9fbe1482502c,0.5791,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,6db3da82-b45f-40f0-a543-3f1937a9b77d,0.5248,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,b94dea90-0a9d-4b59-9fbc-535749306fd2,0.5125,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,0c5c54c4-92bf-4d2b-8e84-833bcc4c4de4,0.5181,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,c374c250-2e51-4b59-906d-3bd36e009aa8,0.6014,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,009e1ba9-0676-4a07-99df-cbb5564f3c57,0.5614,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,c3cd49f1-d0e2-478b-ab04-8e079f1b513b,0.5127,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,5401cb7c-08da-446a-b4c1-40989be206ca,0.6191,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,90c72c62-9fdd-4ca2-bc89-b327b78c5fc0,0.6012,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,a78037ec-26b1-4540-a7c6-afe34f390975,0.6113,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,5e238faf-b677-483a-8b3a-e1c4fcf6479f,0.6775,"state:declarativo",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,f5082190-f6b3-468f-bda3-6ba9e8c519ea,0.5132,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,7b8541cc-1220-4842-92e7-d8bf682b7741,0.5875,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,77d039a0-1709-4794-9cde-07991ce82833,0.6156,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,9836cde7-2b04-410a-bbe8-5ddba64d38b7,0.6718,"mov:ancorar",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,71ce5603-a6ce-4357-9eeb-26d9b70a8e24,0.6067,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,580216a0-1ede-4f95-9213-f9b16ceb6e0f,0.5643,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,45728069-60a2-44b9-bcbf-a516dbebb011,0.5413,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,9bb8de15-9509-476d-bfe3-07958868bd36,0.5085,"",false,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,3a1a67ed-71b8-483d-bc7f-611710594bba,0.5399,"",false,false
