source,target,weight,layers
df9dcc5e-e809-4ffe-933a-8d6772a72800,5ed94bf1-6de4-4233-9aee-9fbe1482502c,0.7257,"state|matter"
df9dcc5e-e809-4ffe-933a-8d6772a72800,7218cf32-626d-4a24-8724-b242e7b15201,0.7835,"state|matter"
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,61bf0b1b-bca2-4604-9036-c3006b1a9a4a,0.7414,"matter|movement"
0c7401e0-31ff-414b-a1a5-37788125a8d4,1a4e4133-08d3-4676-948c-d018846cde04,0.7509,"state|matter|movement"
0c7401e0-31ff-414b-a1a5-37788125a8d4,5ed94bf1-6de4-4233-9aee-9fbe1482502c,0.7214,"state|matter|movement"
0c7401e0-31ff-414b-a1a5-37788125a8d4,d355b2ea-0ffb-4e6b-9043-9bd957f8fa2f,0.7356,"state|matter|movement"
0c7401e0-31ff-414b-a1a5-37788125a8d4,f9102c9f-704c-4773-864b-f499ce9cef6e,0.7541,"state|matter"
1a4e4133-08d3-4676-948c-d018846cde04,0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,0.7646,"state|movement"
1a4e4133-08d3-4676-948c-d018846cde04,5ed94bf1-6de4-4233-9aee-9fbe1482502c,0.7287,"state|movement"
1a4e4133-08d3-4676-948c-d018846cde04,9836cde7-2b04-410a-bbe8-5ddba64d38b7,0.7358,"matter|movement"
de05fcf5-afb4-423c-82c2-c9ebb81673ae,9bb8de15-9509-476d-bfe3-07958868bd36,0.7293,"matter|movement"
24285c4c-372c-4857-8c1c-658ba0a4b647,0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,0.7560,"matter|movement"
0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,9bb8de15-9509-476d-bfe3-07958868bd36,0.7881,"matter|movement"
0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,f9102c9f-704c-4773-864b-f499ce9cef6e,0.7321,"state|matter|movement"
0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,09b4f387-1616-49ed-83df-04d724d4820f,0.7553,"matter|movement"
61bf0b1b-bca2-4604-9036-c3006b1a9a4a,580216a0-1ede-4f95-9213-f9b16ceb6e0f,0.7518,"state|matter"
7d372b41-9eec-48d5-97fd-28c556d7475a,e5320fb2-aec3-4d66-ab76-d75463d19466,0.7478,"state|movement"
39b12e1b-50ba-4376-bb72-05d53d815686,761e88eb-94c6-4af5-a0fc-f2e54de1a128,0.7360,"matter|movement"
c4a20d0b-3ee6-417d-962f-ac80bfaed2ef,9bb8de15-9509-476d-bfe3-07958868bd36,0.7666,"state|matter|movement"
c4a20d0b-3ee6-417d-962f-ac80bfaed2ef,09b4f387-1616-49ed-83df-04d724d4820f,0.7146,"matter|movement"
5ed94bf1-6de4-4233-9aee-9fbe1482502c,d355b2ea-0ffb-4e6b-9043-9bd957f8fa2f,0.7569,"state|matter|movement"
6db3da82-b45f-40f0-a543-3f1937a9b77d,0c5c54c4-92bf-4d2b-8e84-833bcc4c4de4,0.8116,"state|movement"
b94dea90-0a9d-4b59-9fbc-535749306fd2,f5082190-f6b3-468f-bda3-6ba9e8c519ea,0.7648,"state|matter|movement"
009e1ba9-0676-4a07-99df-cbb5564f3c57,45728069-60a2-44b9-bcbf-a516dbebb011,0.7046,"state|movement"
c3cd49f1-d0e2-478b-ab04-8e079f1b513b,f9102c9f-704c-4773-864b-f499ce9cef6e,0.7733,"state|matter|movement"
c3cd49f1-d0e2-478b-ab04-8e079f1b513b,09b4f387-1616-49ed-83df-04d724d4820f,0.7015,"state|matter"
5401cb7c-08da-446a-b4c1-40989be206ca,77d039a0-1709-4794-9cde-07991ce82833,0.7144,"matter|movement"
5401cb7c-08da-446a-b4c1-40989be206ca,b3ececeb-b9e2-4131-874c-1a9e8afaa69c,0.7404,"matter|movement"
90c72c62-9fdd-4ca2-bc89-b327b78c5fc0,d355b2ea-0ffb-4e6b-9043-9bd957f8fa2f,0.7525,"state|matter"
5e238faf-b677-483a-8b3a-e1c4fcf6479f,291bb266-687f-4ca1-a7da-e45c010d7790,0.7636,"state|matter"
291bb266-687f-4ca1-a7da-e45c010d7790,77d039a0-1709-4794-9cde-07991ce82833,0.7110,"state|matter"
7b8541cc-1220-4842-92e7-d8bf682b7741,761e88eb-94c6-4af5-a0fc-f2e54de1a128,0.7042,"matter|movement"
77d039a0-1709-4794-9cde-07991ce82833,b3ececeb-b9e2-4131-874c-1a9e8afaa69c,0.7722,"state|matter|movement"
77d039a0-1709-4794-9cde-07991ce82833,7218cf32-626d-4a24-8724-b242e7b15201,0.7335,"state|matter"
77d039a0-1709-4794-9cde-07991ce82833,5ad46f54-a6e1-41cd-bef0-7b13fefd400b,0.7090,"matter|movement"
9836cde7-2b04-410a-bbe8-5ddba64d38b7,761e88eb-94c6-4af5-a0fc-f2e54de1a128,0.7325,"state|matter|movement"
9836cde7-2b04-410a-bbe8-5ddba64d38b7,5ad46f54-a6e1-41cd-bef0-7b13fefd400b,0.7524,"state|matter"
761e88eb-94c6-4af5-a0fc-f2e54de1a128,5ad46f54-a6e1-41cd-bef0-7b13fefd400b,0.7798,"state|matter|movement"
b3ececeb-b9e2-4131-874c-1a9e8afaa69c,7218cf32-626d-4a24-8724-b242e7b15201,0.7140,"state|matter"
d355b2ea-0ffb-4e6b-9043-9bd957f8fa2f,f9102c9f-704c-4773-864b-f499ce9cef6e,0.7197,"state|matter"
34a4fff2-8fd5-4910-ab50-6c712f8da4cd,5ad46f54-a6e1-41cd-bef0-7b13fefd400b,0.7466,"matter|movement"
