source,target,weight,layers,sim_state,sim_matter,sim_move,overlap_state,overlap_matter,overlap_move,is_rescue
df9dcc5e-e809-4ffe-933a-8d6772a72800,5ed94bf1-6de4-4233-9aee-9fbe1482502c,0.7257,"state|matter",0.77,0.68,0.55,0,0,0,false
df9dcc5e-e809-4ffe-933a-8d6772a72800,7218cf32-626d-4a24-8724-b242e7b15201,0.7835,"state|matter",0.82,0.75,0.50,1,1,0,false
b8ace381-cb66-4aa2-b93b-51f1386e7c5f,61bf0b1b-bca2-4604-9036-c3006b1a9a4a,0.7414,"matter|movement",0.63,0.78,0.71,0,0,1,false
0c7401e0-31ff-414b-a1a5-37788125a8d4,1a4e4133-08d3-4676-948c-d018846cde04,0.7509,"state|matter|movement",0.74,0.79,0.72,1,0,1,false
0c7401e0-31ff-414b-a1a5-37788125a8d4,5ed94bf1-6de4-4233-9aee-9fbe1482502c,0.7214,"state|matter|movement",0.81,0.66,0.70,1,0,1,false
0c7401e0-31ff-414b-a1a5-37788125a8d4,d355b2ea-0ffb-4e6b-9043-9bd957f8fa2f,0.7356,"state|matter|movement",0.74,0.71,0.76,0,0,2,false
0c7401e0-31ff-414b-a1a5-37788125a8d4,f9102c9f-704c-4773-864b-f499ce9cef6e,0.7541,"state|matter",0.73,0.78,0.52,1,0,0,false
1a4e4133-08d3-4676-948c-d018846cde04,0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,0.7646,"state|movement",0.70,0.63,0.83,1,0,1,false
1a4e4133-08d3-4676-948c-d018846cde04,5ed94bf1-6de4-4233-9aee-9fbe1482502c,0.7287,"state|movement",0.77,0.54,0.69,1,0,1,false
1a4e4133-08d3-4676-948c-d018846cde04,9836cde7-2b04-410a-bbe8-5ddba64d38b7,0.7358,"matter|movement",0.55,0.78,0.69,0,1,1,false
de05fcf5-afb4-423c-82c2-c9ebb81673ae,9bb8de15-9509-476d-bfe3-07958868bd36,0.7293,"matter|movement",0.39,0.75,0.71,0,0,1,false
24285c4c-372c-4857-8c1c-658ba0a4b647,0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,0.7560,"matter|movement",0.65,0.70,0.81,0,0,1,false
0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,9bb8de15-9509-476d-bfe3-07958868bd36,0.7881,"matter|movement",0.54,0.79,0.78,0,1,1,false
0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,f9102c9f-704c-4773-864b-f499ce9cef6e,0.7321,"state|matter|movement",0.80,0.74,0.66,1,1,0,false
0ebe866b-c55b-4e71-bcde-e5fcd7284fb9,09b4f387-1616-49ed-83df-04d724d4820f,0.7553,"matter|movement",0.62,0.75,0.76,0,0,1,false
61bf0b1b-bca2-4604-9036-c3006b1a9a4a,580216a0-1ede-4f95-9213-f9b16ceb6e0f,0.7518,"state|matter",0.69,0.81,0.48,1,2,0,false
7d372b41-9eec-48d5-97fd-28c556d7475a,e5320fb2-aec3-4d66-ab76-d75463d19466,0.7478,"state|movement",0.71,0.59,0.79,1,1,1,false
39b12e1b-50ba-4376-bb72-05d53d815686,761e88eb-94c6-4af5-a0fc-f2e54de1a128,0.7360,"matter|movement",0.48,0.78,0.70,0,1,0,false
c4a20d0b-3ee6-417d-962f-ac80bfaed2ef,9bb8de15-9509-476d-bfe3-07958868bd36,0.7666,"state|matter|movement",0.74,0.81,0.75,1,1,1,false
c4a20d0b-3ee6-417d-962f-ac80bfaed2ef,09b4f387-1616-49ed-83df-04d724d4820f,0.7146,"matter|movement",0.57,0.66,0.77,0,0,1,false
5ed94bf1-6de4-4233-9aee-9fbe1482502c,d355b2ea-0ffb-4e6b-9043-9bd957f8fa2f,0.7569,"state|matter|movement",0.78,0.69,0.80,0,0,1,false
6db3da82-b45f-40f0-a543-3f1937a9b77d,0c5c54c4-92bf-4d2b-8e84-833bcc4c4de4,0.8116,"state|movement",0.89,0.58,0.73,1,0,1,false
